3	30.3013	-93.2688	6	3	1	279	-9999	866
3	30.3013	-93.2688	13	6	4	572	-9999	2092
3	30.3013	-93.2688	4	1	1	787	-9999	996
3	30.3013	-93.2688	6	3	2	1308	-9999	2038
3	30.3013	-93.2688	8	3	1	455	-9999	1097
4.6	30.3797	-91.2674	4	2	2	871	-9999	1561
4.6	30.3797	-91.2674	1	1	0	229	-9999	229
4.6	30.3797	-91.2674	7	3	1	508	-9999	1053
4.6	30.3797	-91.2674	6	4	1	422	-9999	1080
4.6	30.3797	-91.2674	4	2	0	163	-9999	437
4.6	30.3797	-91.2674	7	4	2	584	-9999	1476
4.6	30.3797	-91.2674	5	4	1	254	-9999	901
4.6	30.3797	-91.2674	8	5	2	660	-9999	1862
4.6	30.3797	-91.2674	6	2	2	386	-9999	953
4.6	30.3797	-91.2674	2	2	2	1237	-9999	1725
4.6	30.3797	-91.2674	5	3	3	1234	-9999	2676
4.6	30.3797	-91.2674	8	4	2	320	-9999	1361
111.3	31.4	-93.28333	3	1	1	498	-9999	595
111.3	31.4	-93.28333	1	0	0	64	-9999	88
111.3	31.4	-93.28333	5	2	2	373	-9999	1027
111.3	31.4	-93.28333	7	4	3	368	-9999	1341
111.3	31.4	-93.28333	10	5	3	861	-9999	2200
111.3	31.4	-93.28333	9	2	2	706	-9999	1755
111.3	31.4	-93.28333	4	2	2	399	-9999	765
111.3	31.4	-93.28333	3	1	0	160	-9999	250
111.3	31.4	-93.28333	3	0	0	91	-9999	261
111.3	31.4	-93.28333	5	4	3	1382	-9999	3082
