4.6	29.9941	-92.2825	4	3	2	533	-9999	1275
4.6	29.9941	-92.2825	8	2	0	201	-9999	843
4.6	29.9941	-92.2825	7	4	1	254	-9999	917
4.6	29.9941	-92.2825	10	9	2	361	-9999	2029
4.6	29.9941	-92.2825	7	4	1	399	-9999	1241
4.6	29.9941	-92.2825	11	4	2	470	-9999	1459
4.6	29.9941	-92.2825	6	2	2	470	-9999	1237
4.6	29.9941	-92.2825	6	3	3	381	-9999	1185
4.6	29.9941	-92.2825	4	1	1	737	-9999	931
4.6	29.9941	-92.2825	3	2	2	699	-9999	1063
4.6	29.9941	-92.2825	2	1	1	1161	-9999	1273
4.6	29.9941	-92.2825	1	0	0	97	-9999	97
0	29.8807	-90.0837	4	1	1	902	-9999	1116
0	29.8807	-90.0837	5	1	0	163	-9999	482
0	29.8807	-90.0837	8	2	2	546	-9999	1258
0	29.8807	-90.0837	11	9	3	960	-9999	3216
0	29.8807	-90.0837	7	3	1	432	-9999	1045
0	29.8807	-90.0837	5	3	1	269	-9999	793
0	29.8807	-90.0837	9	5	5	465	-9999	2225
0	29.8807	-90.0837	6	2	0	236	-9999	721
0	29.8807	-90.0837	5	3	2	460	-9999	1154
0	29.8807	-90.0837	3	2	1	980	-9999	1237
0	29.8807	-90.0837	4	3	2	495	-9999	1181
0	29.8807	-90.0837	0	0	0	0	-9999	0
33.5	30.8213	-92.6697	5	3	3	838	-9999	1841
33.5	30.8213	-92.6697	3	2	1	312	-9999	571
33.5	30.8213	-92.6697	4	2	1	457	-9999	762
33.5	30.8213	-92.6697	4	3	2	411	-9999	1122
33.5	30.8213	-92.6697	3	3	1	389	-9999	869
6.1	30.3214	-91.2517	3	2	2	610	-9999	1317
6.1	30.3214	-91.2517	7	3	0	241	-9999	639
6.1	30.3214	-91.2517	7	3	1	445	-9999	1012
6.1	30.3214	-91.2517	12	5	2	643	-9999	2045
