6.4	30.3644	-91.1672	5	2	2	475	-9999	1088
6.4	30.3644	-91.1672	6	2	0	208	-9999	570
6.4	30.3644	-91.1672	8	3	1	394	-9999	1003
6.4	30.3644	-91.1672	4	2	1	638	-9999	1017
6.4	30.3644	-91.1672	8	2	1	429	-9999	1034
6.4	30.3644	-91.1672	9	6	4	719	-9999	2258
6.4	30.3644	-91.1672	11	6	2	371	-9999	1599
6.4	30.3644	-91.1672	7	4	2	556	-9999	1449
6.4	30.3644	-91.1672	7	3	1	351	-9999	980
6.4	30.3644	-91.1672	3	2	2	1417	-9999	2215
6.4	30.3644	-91.1672	5	4	3	1232	-9999	2639
6.4	30.3644	-91.1672	3	1	0	224	-9999	382
21.9	30.4118	-91.1786	3	2	2	823	-9999	1484
21.9	30.4118	-91.1786	7	3	1	254	-9999	724
21.9	30.4118	-91.1786	8	3	1	566	-9999	1187
21.9	30.4118	-91.1786	11	6	1	815	-9999	2193
21.9	30.4118	-91.1786	12	5	2	452	-9999	1802
21.9	30.4118	-91.1786	13	6	4	528	-9999	2745
21.9	30.4118	-91.1786	9	3	2	574	-9999	1593
21.9	30.4118	-91.1786	1	1	1	323	-9999	336
21.9	30.4118	-91.1786	4	1	1	267	-9999	477
21.9	30.4118	-91.1786	3	2	2	1890	-9999	2716
21.9	30.4118	-91.1786	5	4	3	1260	-9999	2729
21.9	30.4118	-91.1786	5	1	0	251	-9999	497
10.7	30.4802	-90.9613	4	2	2	551	-9999	1194
10.7	30.4802	-90.9613	6	3	0	208	-9999	777
10.7	30.4802	-90.9613	7	4	3	406	-9999	1383
10.7	30.4802	-90.9613	15	6	3	533	-9999	2370
10.7	30.4802	-90.9613	11	4	4	566	-9999	1847
10.7	30.4802	-90.9613	12	8	3	300	-9999	1971
